recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632034291443,3.6250825,3.2006557,-30.0625,9.0625,-30.046875,32.84375,11.0625,-30.28125,0.07565719,0.6773366,0.7317726,-0.0054516527,0.66830593,0.74386656,-0.63671875,-1.1601562,6.2955246,-0.58935547,-1.1191406,6.3190823
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632039291443,3.7518594,3.1841197,-29.5,9.625,-30.59375,33.46875,11.6875,-30.609375,0.002602842,0.6469737,0.7625079,-0.074080154,0.63648856,0.7677203,-0.5834961,-1.0839844,5.945708,-0.5288086,-1.0800781,6.5169373
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632044292443,3.7408354,3.2080052,-30.3125,9.5625,-30.78125,32.65625,11.59375,-30.296875,0.04810584,0.65844107,0.7510933,-0.04482211,0.65105987,0.7577018,-0.5986328,-1.1220703,6.250184,-0.5498047,-1.0830078,6.3159904
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632049292443,3.7775822,3.4431853,-30.1875,9.25,-30.5,32.75,11.3125,-30.296875,0.053736296,0.6733755,0.7373452,-0.029494233,0.66612375,0.74525785,-0.625,-1.1523438,6.3308263,-0.57666016,-1.1113281,6.3654423
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632054292443,3.8731241,3.4284866,-30.0,9.6875,-30.765625,32.96875,11.75,-30.40625,0.034724962,0.64399016,0.7642453,-0.055361327,0.6357351,0.7699196,-0.59521484,-1.1083984,6.1175056,-0.52783203,-1.0693359,6.3942766
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632059292443,3.7959557,3.3641796,-30.25,9.75,-30.859375,32.6875,12.0,-30.609375,0.047080807,0.63573503,0.7704702,-0.035351835,0.62740654,0.777889,-0.5805664,-1.1044922,6.2353396,-0.5,-1.0322266,6.2485085
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632064292443,3.7665582,3.4854443,-29.65625,9.5,-30.390625,33.25,11.625,-30.65625,0.03189085,0.6602766,0.7503451,-0.03663418,0.652171,0.7571862,-0.6098633,-1.1240234,6.146578,-0.5439453,-1.0839844,6.3945003
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632069292443,3.9245698,3.4486973,-29.96875,9.34375,-30.890625,32.96875,11.5625,-30.546875,0.027493777,0.6602766,0.7505191,-0.034415707,0.652171,0.7572903,-0.6118164,-1.1279297,6.1734233,-0.54296875,-1.0820312,6.3812013
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632074292443,3.7628834,3.511167,-29.5625,9.6875,-30.890625,33.375,11.84375,-30.859375,0.0071027116,0.6428688,0.7659434,-0.053965606,0.63384867,0.77157223,-0.5878906,-1.0820312,5.8713393,-0.5180664,-1.0595703,6.383213
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059632079292443,3.9025216,3.3366194,-30.0,9.9375,-30.984375,32.9375,12.0625,-30.796875,0.03466672,0.62512255,0.7797564,-0.03957727,0.6167021,0.7862011,-0.5654297,-1.0625,5.8837132,-0.49560547,-1.0283203,6.249789
