recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
05b1e954-e0de-4e6a-bec5-f040535b11d2,1,1747059632159421443,1747059632279546443,120.125,846.33997,1268.3496,2.91813,-42.110107
05b1e954-e0de-4e6a-bec5-f040535b11d2,2,1747059632299546443,1747059632429673443,130.127,871.86145,1263.5411,4.923931,-41.765682
05b1e954-e0de-4e6a-bec5-f040535b11d2,3,1747059632579801443,1747059632684803443,105.002,785.6566,1268.8844,-1.8967502,-42.16112
05b1e954-e0de-4e6a-bec5-f040535b11d2,4,1747059632910064443,1747059633045184443,135.12,913.8027,1151.0248,7.669066,-34.386307
05b1e954-e0de-4e6a-bec5-f040535b11d2,5,1747059633125311443,1747059633255438443,130.127,810.0283,932.6081,0.06830872,-20.452072
05b1e954-e0de-4e6a-bec5-f040535b11d2,6,1747059633285438443,1747059633380569443,95.131,807.20593,896.55237,-0.11883845,-18.139288
05b1e954-e0de-4e6a-bec5-f040535b11d2,7,1747059633405566443,1747059633525693443,120.127,806.7415,920.1426,-0.1517463,-19.652796
05b1e954-e0de-4e6a-bec5-f040535b11d2,8,1747059633565694443,1747059633870949443,305.255,796.6184,1037.6156,-0.8700158,-27.183311
05b1e954-e0de-4e6a-bec5-f040535b11d2,9,1747059633920950443,1747059634281331443,360.381,881.13605,858.53723,4.7714605,-15.67529
05b1e954-e0de-4e6a-bec5-f040535b11d2,10,1747059634326332443,1747059634416458443,90.126,857.35,1116.0989,3.4689982,-32.207188
05b1e954-e0de-4e6a-bec5-f040535b11d2,11,1747059634526585443,1747059634796840443,270.255,784.43604,704.64154,-1.5866734,-5.781092
05b1e954-e0de-4e6a-bec5-f040535b11d2,12,1747059634826841443,1747059634981972443,155.131,832.82404,728.27625,1.5524951,-7.3064303
05b1e954-e0de-4e6a-bec5-f040535b11d2,13,1747059635037094443,1747059635157097443,120.003,649.2637,641.97595,-10.315436,-1.7199986
05b1e954-e0de-4e6a-bec5-f040535b11d2,14,1747059635217222443,1747059635347350443,130.128,957.0822,541.8003,9.585153,4.7204256
05b1e954-e0de-4e6a-bec5-f040535b11d2,15,1747059635407351443,1747059635642605443,235.254,927.2749,409.57156,7.770938,13.235567
05b1e954-e0de-4e6a-bec5-f040535b11d2,16,1747059635762732443,1747059636037987443,275.255,1009.7903,399.29102,13.198104,13.80623
05b1e954-e0de-4e6a-bec5-f040535b11d2,17,1747059636107988443,1747059636523370443,415.382,762.95245,536.7823,-2.9777915,5.0691543
05b1e954-e0de-4e6a-bec5-f040535b11d2,18,1747059636728624443,1747059636983885443,255.261,788.5754,863.9604,-1.3503898,-16.045479
05b1e954-e0de-4e6a-bec5-f040535b11d2,19,1747059637154010443,1747059637334145443,180.135,733.0949,909.8198,-5.0778356,-18.966772
05b1e954-e0de-4e6a-bec5-f040535b11d2,20,1747059637374260443,1747059637564388443,190.128,838.6285,797.46234,1.9433253,-11.7656765
05b1e954-e0de-4e6a-bec5-f040535b11d2,21,1747059637609389443,1747059637739516443,130.127,655.66815,902.15076,-10.235141,-18.398506
05b1e954-e0de-4e6a-bec5-f040535b11d2,22,1747059637834651443,1747059637929770443,95.119,739.35944,818.5013,-4.56997,-13.109413
05b1e954-e0de-4e6a-bec5-f040535b11d2,23,1747059637979771443,1747059638094898443,115.127,917.3845,790.82324,7.0869083,-11.305315
05b1e954-e0de-4e6a-bec5-f040535b11d2,24,1747059638154899443,1747059638895661443,740.762,945.7673,531.32904,8.860209,5.397775
05b1e954-e0de-4e6a-bec5-f040535b11d2,25,1747059639095790443,1747059639240917443,145.127,1105.2754,787.72015,19.301874,-10.898004
05b1e954-e0de-4e6a-bec5-f040535b11d2,26,1747059639296043443,1747059639666312443,370.269,916.7902,877.37024,7.153147,-16.855444
05b1e954-e0de-4e6a-bec5-f040535b11d2,27,1747059639711426443,1747059639931554443,220.128,763.48724,855.2913,-3.006253,-15.482904
