gaze x [px],gaze y [px],worn,azimuth [deg],elevation [deg]
823.1407,1167.5542,255.0,1.0253206,-35.551773
814.31396,1157.4803,255.0,0.37038064,-34.901344
803.2647,1165.2643,255.0,-0.44606256,-35.407265
856.3059,1175.3137,255.0,3.476054,-36.031918
873.99066,1176.54,255.0,4.815491,-36.09391
846.074,1188.696,255.0,2.750681,-36.906693
925.1221,1183.6267,255.0,8.656103,-36.470413
980.66095,1163.9763,255.0,12.646442,-35.063393
983.82324,1167.2012,255.0,12.910724,-35.262215
950.3247,1137.832,255.0,10.286274,-33.459568
901.8397,1132.8944,255.0,6.7380633,-33.233696
932.1637,1103.5321,255.0,8.805914,-31.29768
850.4099,1038.8975,255.0,2.8875716,-27.237413
668.0281,976.3161,255.0,-9.594113,-23.144115
739.26965,845.3648,255.0,-4.5977073,-14.826807
788.40063,822.381,255.0,-1.3520701,-13.371576
792.19995,867.67426,255.0,-1.114253,-16.283293
819.4153,832.23987,255.0,0.68221635,-14.004564
757.4788,869.3195,255.0,-3.418827,-16.379063
774.3235,1006.7467,255.0,-2.357979,-25.192223
893.5845,1077.6581,255.0,5.9941807,-29.6958
987.8788,1077.249,255.0,12.634544,-29.491718
979.2594,1097.8481,255.0,12.176693,-30.753952
970.2143,1164.8813,255.0,11.8906,-35.15189
969.50555,1193.9325,255.0,12.0418415,-37.025578
924.5675,1182.4817,255.0,8.609634,-36.396843
972.33203,1171.4647,255.0,12.091057,-35.56859
908.75977,1129.5708,255.0,7.199282,-32.99615
912.00104,1142.2899,255.0,7.501603,-33.82684
926.0348,1136.2913,255.0,8.49922,-33.4144
909.5304,1153.2761,255.0,7.354679,-34.53596
916.64026,1157.8518,255.0,7.903737,-34.818207
914.43665,1118.1989,255.0,7.5910106,-32.27077
914.7383,1143.9177,255.0,7.7155895,-33.924706
909.90125,1144.2646,255.0,7.35542,-33.955177
885.03094,1136.3281,255.0,5.509309,-33.475464
874.19653,1126.7827,255.0,4.702223,-32.879623
868.62573,1137.3864,255.0,4.329568,-33.56955
921.2471,1133.1956,255.0,8.138317,-33.224052
905.155,1120.7821,255.0,6.9271774,-32.452454
941.57117,1116.1284,255.0,9.531494,-32.087547
983.30457,1118.2845,255.0,12.542238,-32.127052
961.64246,1113.0648,255.0,10.957327,-31.8475
924.2479,1140.9,255.0,8.38963,-33.714684
949.06396,1126.7078,255.0,10.122944,-32.750732
917.23816,1117.3706,255.0,7.784875,-32.213528
932.3937,1143.7014,255.0,9.007967,-33.87552
905.67303,1155.1973,255.0,7.0792036,-34.660385
852.0045,1144.8765,255.0,3.1256137,-34.06781
934.8176,1129.744,255.0,9.103378,-32.973763
936.25793,1121.9413,255.0,9.175707,-32.47162
930.8688,1130.3206,255.0,8.828787,-33.014904
954.48425,1130.5625,255.0,10.53513,-32.985947
911.19763,1133.5317,255.0,7.3974667,-33.25811
906.15234,1098.6025,255.0,6.9171505,-31.028612
916.0,1077.5995,255.0,7.55812,-29.662964
857.66907,1003.79626,255.0,3.357311,-24.998215
748.29297,750.82526,255.0,-3.97294,-8.731426
834.9548,701.5626,255.0,1.687685,-5.58148
823.8058,680.6117,255.0,0.9650476,-4.227921
846.2434,703.85913,255.0,2.4195123,-5.728657
822.91016,668.3949,255.0,0.9059973,-3.4392424
819.65216,695.4345,255.0,0.6977243,-5.18536
885.5044,765.94763,255.0,5.0141273,-9.704131
918.3834,941.6328,255.0,7.3836393,-20.961334
863.546,1046.3218,255.0,3.8014507,-27.718603
903.3812,1071.573,255.0,6.6924276,-29.269112
984.387,1129.6812,255.0,12.69116,-32.85208
979.06494,1107.3839,255.0,12.167732,-31.4426
990.03357,1154.7793,255.0,13.2684,-34.437958
923.8462,1154.3269,255.0,8.418143,-34.580215
1018.55115,1147.0908,255.0,15.296221,-33.86343
934.0206,1167.3079,255.0,9.232695,-35.397156
1013.2737,1127.6013,255.0,14.766302,-32.635445
938.74744,1170.0299,255.0,9.610575,-35.55515
905.53296,1166.2505,255.0,7.1218376,-35.383736
965.44226,1149.4436,255.0,11.441663,-34.171265
909.5912,1148.3306,255.0,7.3427773,-34.218044
955.88696,1133.6414,255.0,10.660593,-33.173775
921.76715,1147.8076,255.0,8.239138,-34.1634
945.06323,1147.9985,255.0,9.943081,-34.128304
952.89343,1135.3494,255.0,10.440367,-33.296257
922.27954,1145.479,255.0,8.266628,-34.011086
955.63306,1148.1239,255.0,10.716823,-34.110832
967.72327,1136.0052,255.0,11.525868,-33.30307
940.43005,1159.0109,255.0,9.656548,-34.847694
920.4077,1156.4885,255.0,8.181392,-34.725464
914.7107,1153.634,255.0,7.7467527,-34.55287
923.8843,1157.4934,255.0,8.437319,-34.784645
902.0393,1155.1824,255.0,6.8209543,-34.674515
924.79346,1169.9258,255.0,8.565897,-35.58364
929.2533,1175.474,255.0,8.921883,-35.934605
914.4313,1178.7338,255.0,7.8337173,-36.174263
911.7047,1151.0547,255.0,7.51553,-34.39199
900.6432,1164.5547,255.0,6.751809,-35.28013
902.87946,1156.6555,255.0,6.888396,-34.7679
908.36414,1158.9946,255.0,7.302387,-34.910095
905.13306,1151.2914,255.0,7.026038,-34.41558
912.5221,1159.6885,255.0,7.6109133,-34.947704
946.0469,1156.3987,255.0,10.058252,-34.666527
906.8079,1147.5651,255.0,7.1422534,-34.175663
930.11597,1160.7986,255.0,8.913857,-34.98445
919.0574,1166.7888,255.0,8.1231365,-35.391163
938.72375,1112.9685,255.0,9.290085,-31.881657
